EndNodes_1,EndNodes_2,weight
1,2,76.5568650166685
2,1,76.5568650166685
2,3,21.1538705967111
2,4,39.8522783199464
3,2,21.1538705967111
3,4,37.5929711108816
4,2,39.8522783199464
4,3,37.5929711108816
4,6,46.1869175096312
4,7,37.5929711108816
5,58,55
6,4,46.1869175096312
6,7,21.1538705967111
6,8,39.8522783199464
6,58,21.5568650166685
7,4,37.5929711108816
7,6,21.1538705967111
7,8,37.5929711108815
8,6,39.8522783199464
8,7,37.5929711108815
8,10,46.1869175096312
8,11,37.5929711108816
9,59,55
10,8,46.1869175096312
10,11,21.1538705967111
10,12,39.8522783199464
10,59,21.5568650166685
11,8,37.5929711108816
11,10,21.1538705967111
11,12,37.5929711108816
12,10,39.8522783199464
12,11,37.5929711108816
12,14,46.1869175096312
12,15,37.5929711108816
13,60,55
14,12,46.1869175096312
14,15,21.1538705967111
14,16,39.8522783199464
14,60,21.5568650166685
15,12,37.5929711108816
15,14,21.1538705967111
15,16,37.5929711108816
16,14,39.8522783199464
16,15,37.5929711108816
16,18,46.1869175096312
16,19,37.5929711108816
17,61,55
18,16,46.1869175096312
18,19,21.1538705967111
18,20,39.8522783199464
18,61,21.5568650166685
19,16,37.5929711108816
19,18,21.1538705967111
19,20,37.5929711108816
20,18,39.8522783199464
20,19,37.5929711108816
20,22,46.1869175096312
20,23,37.5929711108815
21,62,55
22,20,46.1869175096312
22,23,21.1538705967111
22,24,39.8522783199464
22,62,21.5568650166685
23,20,37.5929711108815
23,22,21.1538705967111
23,24,37.5929711108816
24,22,39.8522783199464
24,23,37.5929711108816
24,26,46.1869175096312
24,27,37.5929711108816
25,63,55
26,24,46.1869175096312
26,27,21.1538705967111
26,28,39.8522783199464
26,63,21.5568650166685
27,24,37.5929711108816
27,26,21.1538705967111
27,28,37.5929711108816
28,26,39.8522783199464
28,27,37.5929711108816
28,30,46.1869175096312
28,31,37.5929711108816
29,64,55
30,28,46.1869175096312
30,31,21.1538705967111
30,32,39.8522783199464
30,64,21.5568650166685
31,28,37.5929711108816
31,30,21.1538705967111
31,32,37.5929711108816
31,56,39.8522783199464
32,30,39.8522783199464
32,31,37.5929711108816
32,34,46.1869175096312
32,35,37.5929711108816
32,56,21.1538705967111
33,65,55
34,32,46.1869175096312
34,35,21.1538705967111
34,36,39.8522783199464
34,65,21.5568650166685
35,32,37.5929711108816
35,34,21.1538705967111
35,36,37.5929711108816
35,56,39.8522783199464
36,34,39.8522783199464
36,35,37.5929711108816
36,38,46.1869175096312
36,39,37.5929711108816
37,66,55
38,36,46.1869175096312
38,39,21.1538705967111
38,40,39.8522783199464
38,66,21.5568650166685
39,36,37.5929711108816
39,38,21.1538705967111
39,40,37.5929711108816
40,38,39.8522783199464
40,39,37.5929711108816
40,42,46.1869175096312
40,43,37.5929711108815
41,67,55
42,40,46.1869175096312
42,43,21.1538705967111
42,44,39.8522783199464
42,67,21.5568650166685
43,40,37.5929711108815
43,42,21.1538705967111
43,44,37.5929711108816
44,42,39.8522783199464
44,43,37.5929711108816
44,46,46.1869175096313
44,47,37.5929711108816
45,68,55
46,44,46.1869175096313
46,47,21.1538705967111
46,48,39.8522783199464
46,68,21.5568650166685
47,44,37.5929711108816
47,46,21.1538705967111
47,48,37.5929711108816
48,46,39.8522783199464
48,47,37.5929711108816
48,50,46.1869175096313
48,51,37.5929711108816
49,69,55
50,48,46.1869175096313
50,51,21.1538705967111
50,52,39.8522783199464
50,69,21.5568650166685
51,48,37.5929711108816
51,50,21.1538705967111
51,52,37.5929711108816
51,57,39.8522783199464
52,50,39.8522783199464
52,51,37.5929711108816
52,54,46.1869175096313
52,55,37.5929711108816
52,57,21.1538705967111
53,70,55
54,52,46.1869175096313
54,55,21.1538705967111
54,70,21.5568650166685
55,52,37.5929711108816
55,54,21.1538705967111
55,57,39.8522783199464
56,31,39.8522783199464
56,32,21.1538705967111
56,35,39.8522783199464
57,51,39.8522783199464
57,52,21.1538705967111
57,55,39.8522783199464
58,5,55
58,6,21.5568650166685
59,9,55
59,10,21.5568650166685
60,13,55
60,14,21.5568650166685
61,17,55
61,18,21.5568650166685
62,21,55
62,22,21.5568650166685
63,25,55
63,26,21.5568650166685
64,29,55
64,30,21.5568650166685
65,33,55
65,34,21.5568650166685
66,37,55
66,38,21.5568650166685
67,41,55
67,42,21.5568650166685
68,45,55
68,46,21.5568650166685
69,49,55
69,50,21.5568650166685
70,53,55
70,54,21.5568650166685
